icao_code;iata_code;gps_code;Lat;Long
UKLH;HMJ;UKLH;49,359699;26,933399
UKLI;IFO;UKLI;48,88420105;24,68610001
UKLL;LWO;UKLL;49,8125;23,9561
UKLN;CWC;UKLN;48,25930023;25,98080063
UKLR;RWN;UKLR;50,60710144;26,14159966
UKLT;TNL;UKLT;49,5242;25,7001
UKLU;UDJ;UKLU;48,6343;22,263399
UKOH;KHE;UKOH;46,6758;32,506401
UKON;NLV;UKON;47,057899;31,9198
UKOO;ODS;UKOO;46,4268;30,6765
UKWW;VIN;UKWW;49,242531;28,613778
ULAA;ARH;ULAA;64,60030365;40,71670151
;VKV;ULAH;64,441704;40,4217
ULAL;LDG;ULAL;64,89600372;45,72299957
ULAM;NNM;ULAM;67,639999;53,121899
;CSH;ULAS;65,029999;35,733334
ULKK;KSZ;ULKK;61,2358017;46,69749832
ULLI;LED;ULLI;59,800301;30,262501
ULMM;MMK;ULMM;68,78170013;32,75080109
ULOO;PKV;ULOO;57,78390121;28,39559937
ULPB;PES;ULPB;61,8852005;34,15470123
ULWC;CEE;ULWC;59,27360153;38,01580048
ULWW;VGD;ULWW;59,282501;39,944401
UMBB;BQT;UMBB;52,108299;23,8981
UMGG;GME;UMGG;52,52700043;31,01670074
UMII;VTB;UMII;55,12649918;30,34959984
UMKK;KGD;UMKK;54,88999939;20,59259987
UMMG;GNA;UMMG;53,602001;24,053801
UMMS;MSQ;UMMS;53,888071;28,039964
UMOO;MVQ;UMOO;53,95489883;30,0951004
UNBG;RGK;UNBG;51,969204;85,836539
UNIP;TGP;UNIP;61,589699;89,994003
UNKL;KJA;UNKL;56,173077;92,492437
UNNT;OVB;UNNT;55,019756;82,618675
UNWW;NOZ;UNWW;53,811401;86,877197
URKA;AAQ;URKA;45,002102;37,347301
URKG;GDZ;URKG;44,58209263;38,01248074
URKK;KRR;URKK;45,034698;39,170502
URMG;GRV;URMG;43,388106;45,699772
URML;MCX;URML;42,816799;47,652302
URMM;MRV;URMM;44,22510147;43,08190155
URMN;NAL;URMN;43,51290131;43,63660049
URMO;OGZ;URMO;43,205101;44,606602
URMT;STW;URMT;45,10919952;42,1128006
URRP;ROV;URRP;47,493888;39,924722
URRT;TGK;URRT;47,1983333;38,8491667
URSS;AER;URSS;43,449902;39,9566
URWI;ESL;URWI;46,37390137;44,33089828
URWW;VOG;URWW;48,78250122;44,34550095
USCC;CEK;USCC;55,305801;61,5033
USCM;MQF;USCM;53,39310074;58,75569916
USDP;KKQ;USDP;65,717;82,455
USDS;TQL;USDS;64,930485;77,811295
USDU;UEN;USDU;65,95999908;78,43699646
USHN;NYA;USHN;62,110001;65,614998
USHQ;EYK;USHQ;63,686901;66,698601
USII;IJK;USII;56,8280983;53,45750046
USKK;KVX;USKK;58,503883;49,347831
USPP;PEE;USPP;57,914501;56,021198
UUBA;KMW;UUBA;57,796902;41,019402
UUBC;KLF;UUBC;54,54999924;36,3666687
UUBI;IWA;UUBI;56,93939972;40,94079971
UUBK;RYB;UUBK;58,104198;38,929401
UUBP;BZK;UUBP;53,214199;34,176399
UUBW;ZIA;UUBW;55,553299;38,150002
UUDD;DME;UUDD;55,408798;37,9063
UUDL;IAR;UUDL;57,560699;40,157398
UUEE;SVO;UUEE;55,972599;37,4146
UUEM;KLD;UUEM;56,8246994;35,75770187
UUMO;OSF;UUMO;55,511667;37,507222
UUMU;CKL;UUMU;55,8783;38,061699
UUOB;EGO;UUOB;50,64379883;36,59009933
UUOK;URS;UUOK;51,75059891;36,29560089
UUOL;LPK;UUOL;52,70280075;39,53779984
UUOO;VOZ;UUOO;51,81420135;39,229599
UUOT;TBW;UUOT;52,806099;41,4828
UUWW;VKO;UUWW;55,591499;37,261501
UUYI;INA;UUYI;66,053372;60,105786
UUYP;PEX;UUYP;65,121101;57,130798
UUYY;SCW;UUYY;61,64699936;50,8451004
UWGG;GOJ;UWGG;56,228254;43,785197
UWLL;ULV;UWLL;54,268299;48,2267
UWLW;ULY;UWLW;54,401001;48,8027
UWOO;REN;UWOO;51,79579926;55,45669937
UWPP;PEZ;UWPP;53,11059952;45,02109909
UWPS;SKX;UWPS;54,1251297;45,21225739
UWUU;UFA;UWUU;54,55749893;55,87440109
UWWW;KUF;UWWW;53,504902;50,164299

LCA;34,88;33,62
